Review_ID,Product_ID,Review_Text,Star_Rating,Cleaned_Review,Predicted_Sentiment,Confidence_Score
33,PROD_602,"Very disappointed, product looks nothing like the pictures</p>",3,"very disappointed, product looks nothing like the pictures",NEGATIVE,0.9996
34,PROD_957,Waste of money!! stopped working after one week&amp;,2,waste of money!! stopped working after one week,NEGATIVE,0.9998
35,PROD_674,"<br>Works perfectly fine, very happy with this purchase &amp;<br>",1,"works perfectly fine, very happy with this purchase",POSITIVE,0.9999
36,PROD_833,"  
  Super fast delivery and product quality is top notch!!  
  ",5,super fast delivery and product quality is top notch!!,POSITIVE,0.9998
37,PROD_754,"   I love this so much, exceeded my expectations completely   ",3,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
38,PROD_259,   Amazing value for money. Really impressed with the build quality   ,3,amazing value for money. really impressed with the build quality,POSITIVE,0.9999
39,PROD_677,Do not buy this!! total waste of time and money  ,2,do not buy this!! total waste of time and money,NEGATIVE,0.9998
40,PROD_745,Meets basic requirements but quality could be better,4,meets basic requirements but quality could be better,NEGATIVE,0.9616
41,PROD_655,"Product is okay, nothing special but does the job",4,"product is okay, nothing special but does the job",POSITIVE,0.9979
42,PROD_430,"Average quality for the price, expected a bit more",2,"average quality for the price, expected a bit more",NEGATIVE,0.9857
43,PROD_330,"   Totally worth the price, very satisfied customer here   ",1,"totally worth the price, very satisfied customer here",POSITIVE,0.9998
44,PROD_732,<br>Love the design and it works exactly as described<br>,4,love the design and it works exactly as described,POSITIVE,0.9999
45,PROD_458,<br>10/10 would buy again. customer service was also helpful<br>,3,10/10 would buy again. customer service was also helpful,POSITIVE,0.997
46,PROD_324,   This product is absolutely amazing! Loved every bit of it 😍   ,3,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
47,PROD_926,"  
  Great quality, fast shipping. Will buy again!!  
  ",1,"great quality, fast shipping. will buy again!!",POSITIVE,0.9997
48,PROD_596, &nbsp; <p>Excellent product</p> highly recommended to everyone &nbsp; ,2,excellent product highly recommended to everyone,POSITIVE,0.9998
49,PROD_609,"Neither good nor bad, just an okay product overall",2,"neither good nor bad, just an okay product overall",NEGATIVE,0.9634
50,PROD_724,"Poor quality, feels very cheap. Not worth it at all<p>",1,"poor quality, feels very cheap. not worth it at all",NEGATIVE,0.9998
51,PROD_741, &nbsp; Super fast delivery and product quality is top notch!! &nbsp; ,4,super fast delivery and product quality is top notch!!,POSITIVE,0.9998
52,PROD_835,"   I love this so much, exceeded my expectations completely   ",1,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
53,PROD_229,"Horrible experience, packaging was damaged and product broken</p>",5,"horrible experience, packaging was damaged and product broken",NEGATIVE,0.9998
54,PROD_809,"  
  Best product in this price range hands down 👍👍  
  ",4,best product in this price range hands down,NEGATIVE,0.6948
55,PROD_222,"  
  Packaging was great and product works flawlessly  
  ",1,packaging was great and product works flawlessly,POSITIVE,0.9999
56,PROD_936,"Disappointed with the product, not as described at all  ",4,"disappointed with the product, not as described at all",NEGATIVE,0.9998
57,PROD_610,"Okay product, will see how long it lasts",1,"okay product, will see how long it lasts",POSITIVE,0.8317
58,PROD_425,"<br>Totally worth the price, very satisfied customer here<br>",5,"totally worth the price, very satisfied customer here",POSITIVE,0.9998
59,PROD_863,"Neither good nor bad, just an okay product overall",3,"neither good nor bad, just an okay product overall",NEGATIVE,0.9634
60,PROD_610, &nbsp; 10/10 would buy again. customer service was also helpful &nbsp; ,3,10/10 would buy again. customer service was also helpful,POSITIVE,0.997
61,PROD_919,<br>This product is absolutely amazing! Loved every bit of it 😍<br>,1,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
62,PROD_650,<b>Worst purchase ever</b> do not buy this garbage  ,2,worst purchase ever do not buy this garbage,NEGATIVE,0.9995
63,PROD_878,"Its fine i guess, works as expected nothing more",4,"its fine i guess, works as expected nothing more",POSITIVE,0.9946
64,PROD_250,Waste of money!! stopped working after one week</p>,2,waste of money!! stopped working after one week,NEGATIVE,0.9998
65,PROD_243,"  
  Works perfectly fine, very happy with this purchase &amp;  
  ",2,"works perfectly fine, very happy with this purchase",POSITIVE,0.9999
66,PROD_671,It works but nothing to write home about really,1,it works but nothing to write home about really,NEGATIVE,0.9941
67,PROD_353,"  
  I love this so much, exceeded my expectations completely  
  ",4,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
68,PROD_108,"Horrible experience, packaging was damaged and product broken  ",1,"horrible experience, packaging was damaged and product broken",NEGATIVE,0.9998
69,PROD_307,"  
  Best product in this price range hands down 👍👍  
  ",3,best product in this price range hands down,NEGATIVE,0.6948
70,PROD_153,Meets basic requirements but quality could be better,1,meets basic requirements but quality could be better,NEGATIVE,0.9616
71,PROD_724,"Disappointed with the product, not as described at all&amp;",4,"disappointed with the product, not as described at all",NEGATIVE,0.9998
72,PROD_951,"Average quality for the price, expected a bit more",3,"average quality for the price, expected a bit more",NEGATIVE,0.9857
73,PROD_198,"   Totally worth the price, very satisfied customer here   ",1,"totally worth the price, very satisfied customer here",POSITIVE,0.9998
74,PROD_977,"  
  Love the design and it works exactly as described  
  ",2,love the design and it works exactly as described,POSITIVE,0.9999
75,PROD_819,<br>10/10 would buy again. customer service was also helpful<br>,5,10/10 would buy again. customer service was also helpful,POSITIVE,0.997
76,PROD_679,   This product is absolutely amazing! Loved every bit of it 😍   ,1,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
77,PROD_603,"  
  Great quality, fast shipping. Will buy again!!  
  ",3,"great quality, fast shipping. will buy again!!",POSITIVE,0.9997
78,PROD_787,"Very disappointed, product looks nothing like the pictures<p>",4,"very disappointed, product looks nothing like the pictures",NEGATIVE,0.9996
79,PROD_474,Waste of money!! stopped working after one week</p>,5,waste of money!! stopped working after one week,NEGATIVE,0.9998
80,PROD_382,"  
  Works perfectly fine, very happy with this purchase &amp;  
  ",3,"works perfectly fine, very happy with this purchase",POSITIVE,0.9999
81,PROD_708,Arrived broken and customer support was useless 😤</p>,4,arrived broken and customer support was useless,NEGATIVE,0.9998
82,PROD_552,"Complete scam, returned it immediately. 0 stars<p>",4,"complete scam, returned it immediately. 0 stars",NEGATIVE,0.796
83,PROD_615,"Horrible experience, packaging was damaged and product broken&amp;",3,"horrible experience, packaging was damaged and product broken",NEGATIVE,0.9998
84,PROD_116,Do not buy this!! total waste of time and money  ,4,do not buy this!! total waste of time and money,NEGATIVE,0.9998
85,PROD_576,"Not bad not great, somewhere in the middle i think",5,"not bad not great, somewhere in the middle i think",NEGATIVE,0.9925
86,PROD_991,It works but nothing to write home about really,1,it works but nothing to write home about really,NEGATIVE,0.9941
87,PROD_448,"Okay product, will see how long it lasts",1,"okay product, will see how long it lasts",POSITIVE,0.8317
88,PROD_198,"Worst product i have ever bought, avoid at all costs&amp;",4,"worst product i have ever bought, avoid at all costs",NEGATIVE,0.9998
89,PROD_290,"Neither good nor bad, just an okay product overall",5,"neither good nor bad, just an okay product overall",NEGATIVE,0.9634
90,PROD_260,<br>10/10 would buy again. customer service was also helpful<br>,3,10/10 would buy again. customer service was also helpful,POSITIVE,0.997
91,PROD_834,   This product is absolutely amazing! Loved every bit of it 😍   ,2,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
92,PROD_785,"Average quality for the price, expected a bit more",2,"average quality for the price, expected a bit more",NEGATIVE,0.9857
93,PROD_762,"Very disappointed, product looks nothing like the pictures</p>",2,"very disappointed, product looks nothing like the pictures",NEGATIVE,0.9996
94,PROD_485, &nbsp; 5 stars!! best purchase i made this year &nbsp; ,2,5 stars!! best purchase i made this year,POSITIVE,0.9995
95,PROD_492,"Poor quality, feels very cheap. Not worth it at all<p>",3,"poor quality, feels very cheap. not worth it at all",NEGATIVE,0.9998
96,PROD_576,Arrived broken and customer support was useless 😤&amp;,2,arrived broken and customer support was useless,NEGATIVE,0.9998
97,PROD_966,"Okay product, will see how long it lasts",2,"okay product, will see how long it lasts",POSITIVE,0.8317
98,PROD_624,"Pretty average, does what it says in the description",4,"pretty average, does what it says in the description",NEGATIVE,0.9126
99,PROD_135,Do not buy this!! total waste of time and money<p>,5,do not buy this!! total waste of time and money,NEGATIVE,0.9998
100,PROD_611,"  
  Packaging was great and product works flawlessly  
  ",4,packaging was great and product works flawlessly,POSITIVE,0.9999
101,PROD_242,"Product is okay, nothing special but does the job",4,"product is okay, nothing special but does the job",POSITIVE,0.9979
102,PROD_826,"Stopped working after 3 days, very poor build quality  ",3,"stopped working after 3 days, very poor build quality",NEGATIVE,0.9997
103,PROD_289,"<br>Totally worth the price, very satisfied customer here<br>",5,"totally worth the price, very satisfied customer here",POSITIVE,0.9998
104,PROD_669,"Decent product, shipping was slow though",1,"decent product, shipping was slow though",NEGATIVE,0.988
105,PROD_882, &nbsp; 10/10 would buy again. customer service was also helpful &nbsp; ,3,10/10 would buy again. customer service was also helpful,POSITIVE,0.997
106,PROD_363,   This product is absolutely amazing! Loved every bit of it 😍   ,5,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
107,PROD_104,"  
  Great quality, fast shipping. Will buy again!!  
  ",4,"great quality, fast shipping. will buy again!!",POSITIVE,0.9997
108,PROD_983,"Pretty average, does what it says in the description",3,"pretty average, does what it says in the description",NEGATIVE,0.9126
109,PROD_755,Waste of money!! stopped working after one week  ,5,waste of money!! stopped working after one week,NEGATIVE,0.9998
110,PROD_205,Meets basic requirements but quality could be better,3,meets basic requirements but quality could be better,NEGATIVE,0.9616
111,PROD_886,Arrived broken and customer support was useless 😤&amp;,4,arrived broken and customer support was useless,NEGATIVE,0.9998
112,PROD_840,"Complete scam, returned it immediately. 0 stars</p>",2,"complete scam, returned it immediately. 0 stars",NEGATIVE,0.796
113,PROD_890,"Its fine i guess, works as expected nothing more",1,"its fine i guess, works as expected nothing more",POSITIVE,0.9946
114,PROD_157,Do not buy this!! total waste of time and money<p>,2,do not buy this!! total waste of time and money,NEGATIVE,0.9998
115,PROD_195, &nbsp; Packaging was great and product works flawlessly &nbsp; ,1,packaging was great and product works flawlessly,POSITIVE,0.9999
116,PROD_996,"Disappointed with the product, not as described at all<p>",5,"disappointed with the product, not as described at all",NEGATIVE,0.9998
117,PROD_680,"Stopped working after 3 days, very poor build quality&amp;",5,"stopped working after 3 days, very poor build quality",NEGATIVE,0.9997
118,PROD_253,"  
  Totally worth the price, very satisfied customer here  
  ",3,"totally worth the price, very satisfied customer here",POSITIVE,0.9998
119,PROD_384,Terrible!! arrived late and was completely broken<p>,4,terrible!! arrived late and was completely broken,NEGATIVE,0.9997
120,PROD_193,   10/10 would buy again. customer service was also helpful   ,4,10/10 would buy again. customer service was also helpful,POSITIVE,0.997
121,PROD_317,"  
  This product is absolutely amazing! Loved every bit of it 😍  
  ",2,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
122,PROD_711,"<br>Great quality, fast shipping. Will buy again!!<br>",1,"great quality, fast shipping. will buy again!!",POSITIVE,0.9997
123,PROD_122,   <p>Excellent product</p> highly recommended to everyone   ,2,excellent product highly recommended to everyone,POSITIVE,0.9998
124,PROD_199,Waste of money!! stopped working after one week<p>,2,waste of money!! stopped working after one week,NEGATIVE,0.9998
125,PROD_861," &nbsp; Works perfectly fine, very happy with this purchase &amp; &nbsp; ",3,"works perfectly fine, very happy with this purchase",POSITIVE,0.9999
126,PROD_424,Arrived broken and customer support was useless 😤<p>,5,arrived broken and customer support was useless,NEGATIVE,0.9998
127,PROD_435,"  
  I love this so much, exceeded my expectations completely  
  ",2,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
128,PROD_259,"  
  Amazing value for money. Really impressed with the build quality  
  ",3,amazing value for money. really impressed with the build quality,POSITIVE,0.9999
129,PROD_789,"Neither good nor bad, just an okay product overall",3,"neither good nor bad, just an okay product overall",NEGATIVE,0.9634
130,PROD_790,"Very bad quality, plastic feels cheap will break easily<p>",3,"very bad quality, plastic feels cheap will break easily",NEGATIVE,0.9997
131,PROD_934,"Product is okay, nothing special but does the job",1,"product is okay, nothing special but does the job",POSITIVE,0.9979
132,PROD_941,"Average quality for the price, expected a bit more",3,"average quality for the price, expected a bit more",NEGATIVE,0.9857
133,PROD_111,"   Totally worth the price, very satisfied customer here   ",2,"totally worth the price, very satisfied customer here",POSITIVE,0.9998
134,PROD_134, &nbsp; Love the design and it works exactly as described &nbsp; ,1,love the design and it works exactly as described,POSITIVE,0.9999
135,PROD_701,"Not recommended at all, save your money for something better<p>",2,"not recommended at all, save your money for something better",NEGATIVE,0.9997
136,PROD_295,<br>This product is absolutely amazing! Loved every bit of it 😍<br>,2,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
137,PROD_174,<b>Worst purchase ever</b> do not buy this garbage<p>,5,worst purchase ever do not buy this garbage,NEGATIVE,0.9995
138,PROD_376,   <p>Excellent product</p> highly recommended to everyone   ,5,excellent product highly recommended to everyone,POSITIVE,0.9998
139,PROD_968, &nbsp; 5 stars!! best purchase i made this year &nbsp; ,1,5 stars!! best purchase i made this year,POSITIVE,0.9995
140,PROD_788,"Poor quality, feels very cheap. Not worth it at all&amp;",3,"poor quality, feels very cheap. not worth it at all",NEGATIVE,0.9998
141,PROD_195, &nbsp; Super fast delivery and product quality is top notch!! &nbsp; ,5,super fast delivery and product quality is top notch!!,POSITIVE,0.9998
142,PROD_624,"<br>I love this so much, exceeded my expectations completely<br>",1,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
143,PROD_372, &nbsp; Amazing value for money. Really impressed with the build quality &nbsp; ,1,amazing value for money. really impressed with the build quality,POSITIVE,0.9999
144,PROD_828,Do not buy this!! total waste of time and money  ,5,do not buy this!! total waste of time and money,NEGATIVE,0.9998
145,PROD_276,"Not bad not great, somewhere in the middle i think",4,"not bad not great, somewhere in the middle i think",NEGATIVE,0.9925
146,PROD_175,"   Really good product, will definitely recommend to friends   ",1,"really good product, will definitely recommend to friends",POSITIVE,0.9999
147,PROD_834," &nbsp; Outstanding quality, arrived on time and works perfectly &nbsp; ",4,"outstanding quality, arrived on time and works perfectly",POSITIVE,0.9999
148,PROD_243,"Worst product i have ever bought, avoid at all costs&amp;",5,"worst product i have ever bought, avoid at all costs",NEGATIVE,0.9998
149,PROD_124,"  
  Love the design and it works exactly as described  
  ",4,love the design and it works exactly as described,POSITIVE,0.9999
150,PROD_664,"Not recommended at all, save your money for something better  ",1,"not recommended at all, save your money for something better",NEGATIVE,0.9997
151,PROD_141,   This product is absolutely amazing! Loved every bit of it 😍   ,2,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
152,PROD_733,"<br>Great quality, fast shipping. Will buy again!!<br>",5,"great quality, fast shipping. will buy again!!",POSITIVE,0.9997
153,PROD_334,"Very disappointed, product looks nothing like the pictures<p>",3,"very disappointed, product looks nothing like the pictures",NEGATIVE,0.9996
154,PROD_108,"  
  5 stars!! best purchase i made this year  
  ",2,5 stars!! best purchase i made this year,POSITIVE,0.9995
155,PROD_352,"Not bad not great, somewhere in the middle i think",5,"not bad not great, somewhere in the middle i think",NEGATIVE,0.9925
156,PROD_894,   Super fast delivery and product quality is top notch!!   ,2,super fast delivery and product quality is top notch!!,POSITIVE,0.9998
157,PROD_264,"   I love this so much, exceeded my expectations completely   ",3,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
158,PROD_932,"Horrible experience, packaging was damaged and product broken<p>",4,"horrible experience, packaging was damaged and product broken",NEGATIVE,0.9998
159,PROD_316,<br>Best product in this price range hands down 👍👍<br>,5,best product in this price range hands down,NEGATIVE,0.6948
160,PROD_351,"Very bad quality, plastic feels cheap will break easily</p>",3,"very bad quality, plastic feels cheap will break easily",NEGATIVE,0.9997
161,PROD_266,"Disappointed with the product, not as described at all</p>",3,"disappointed with the product, not as described at all",NEGATIVE,0.9998
162,PROD_138,"<br>Outstanding quality, arrived on time and works perfectly<br>",3,"outstanding quality, arrived on time and works perfectly",POSITIVE,0.9999
163,PROD_319," &nbsp; Totally worth the price, very satisfied customer here &nbsp; ",2,"totally worth the price, very satisfied customer here",POSITIVE,0.9998
164,PROD_928,Terrible!! arrived late and was completely broken  ,1,terrible!! arrived late and was completely broken,NEGATIVE,0.9997
165,PROD_447,"Not recommended at all, save your money for something better&amp;",1,"not recommended at all, save your money for something better",NEGATIVE,0.9997
166,PROD_508,   This product is absolutely amazing! Loved every bit of it 😍   ,1,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
167,PROD_157," &nbsp; Great quality, fast shipping. Will buy again!! &nbsp; ",4,"great quality, fast shipping. will buy again!!",POSITIVE,0.9997
168,PROD_272,"Pretty average, does what it says in the description",5,"pretty average, does what it says in the description",NEGATIVE,0.9126
169,PROD_985,"  
  5 stars!! best purchase i made this year  
  ",5,5 stars!! best purchase i made this year,POSITIVE,0.9995
170,PROD_328,Meets basic requirements but quality could be better,4,meets basic requirements but quality could be better,NEGATIVE,0.9616
171,PROD_540,Arrived broken and customer support was useless 😤  ,2,arrived broken and customer support was useless,NEGATIVE,0.9998
172,PROD_625,"   I love this so much, exceeded my expectations completely   ",1,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
173,PROD_358,"Horrible experience, packaging was damaged and product broken</p>",1,"horrible experience, packaging was damaged and product broken",NEGATIVE,0.9998
174,PROD_429,"Decent product, shipping was slow though",4,"decent product, shipping was slow though",NEGATIVE,0.988
175,PROD_107,   Packaging was great and product works flawlessly   ,2,packaging was great and product works flawlessly,POSITIVE,0.9999
176,PROD_747," &nbsp; Really good product, will definitely recommend to friends &nbsp; ",2,"really good product, will definitely recommend to friends",POSITIVE,0.9999
177,PROD_831,"  
  Outstanding quality, arrived on time and works perfectly  
  ",5,"outstanding quality, arrived on time and works perfectly",POSITIVE,0.9999
178,PROD_803,"Pretty average, does what it says in the description",3,"pretty average, does what it says in the description",NEGATIVE,0.9126
179,PROD_300,Terrible!! arrived late and was completely broken<p>,1,terrible!! arrived late and was completely broken,NEGATIVE,0.9997
180,PROD_831,   10/10 would buy again. customer service was also helpful   ,5,10/10 would buy again. customer service was also helpful,POSITIVE,0.997
181,PROD_352,<br>This product is absolutely amazing! Loved every bit of it 😍<br>,2,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
182,PROD_914,"   Great quality, fast shipping. Will buy again!!   ",1,"great quality, fast shipping. will buy again!!",POSITIVE,0.9997
183,PROD_897,"  
  <p>Excellent product</p> highly recommended to everyone  
  ",2,excellent product highly recommended to everyone,POSITIVE,0.9998
184,PROD_218,Waste of money!! stopped working after one week<p>,1,waste of money!! stopped working after one week,NEGATIVE,0.9998
185,PROD_323,"Poor quality, feels very cheap. Not worth it at all</p>",1,"poor quality, feels very cheap. not worth it at all",NEGATIVE,0.9998
186,PROD_162, &nbsp; Super fast delivery and product quality is top notch!! &nbsp; ,1,super fast delivery and product quality is top notch!!,POSITIVE,0.9998
187,PROD_894,"Okay product, will see how long it lasts",1,"okay product, will see how long it lasts",POSITIVE,0.8317
188,PROD_709,"Pretty average, does what it says in the description",1,"pretty average, does what it says in the description",NEGATIVE,0.9126
189,PROD_504,   Best product in this price range hands down 👍👍   ,4,best product in this price range hands down,NEGATIVE,0.6948
190,PROD_962,Meets basic requirements but quality could be better,5,meets basic requirements but quality could be better,NEGATIVE,0.9616
191,PROD_536,"Product is okay, nothing special but does the job",5,"product is okay, nothing special but does the job",POSITIVE,0.9979
192,PROD_557,"Stopped working after 3 days, very poor build quality</p>",3,"stopped working after 3 days, very poor build quality",NEGATIVE,0.9997
193,PROD_556," &nbsp; Totally worth the price, very satisfied customer here &nbsp; ",1,"totally worth the price, very satisfied customer here",POSITIVE,0.9998
194,PROD_816,"Decent product, shipping was slow though",4,"decent product, shipping was slow though",NEGATIVE,0.988
195,PROD_587,   10/10 would buy again. customer service was also helpful   ,2,10/10 would buy again. customer service was also helpful,POSITIVE,0.997
196,PROD_650,"  
  This product is absolutely amazing! Loved every bit of it 😍  
  ",2,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
197,PROD_217," &nbsp; Great quality, fast shipping. Will buy again!! &nbsp; ",3,"great quality, fast shipping. will buy again!!",POSITIVE,0.9997
198,PROD_153,"Very disappointed, product looks nothing like the pictures  ",4,"very disappointed, product looks nothing like the pictures",NEGATIVE,0.9996
199,PROD_862,Waste of money!! stopped working after one week</p>,1,waste of money!! stopped working after one week,NEGATIVE,0.9998
200,PROD_402,"Poor quality, feels very cheap. Not worth it at all&amp;",5,"poor quality, feels very cheap. not worth it at all",NEGATIVE,0.9998
201,PROD_174,Arrived broken and customer support was useless 😤</p>,3,arrived broken and customer support was useless,NEGATIVE,0.9998
202,PROD_803,"Average quality for the price, expected a bit more",4,"average quality for the price, expected a bit more",NEGATIVE,0.9857
203,PROD_405,"Its fine i guess, works as expected nothing more",2,"its fine i guess, works as expected nothing more",POSITIVE,0.9946
204,PROD_958,Do not buy this!! total waste of time and money&amp;,3,do not buy this!! total waste of time and money,NEGATIVE,0.9998
205,PROD_407,"Not bad not great, somewhere in the middle i think",1,"not bad not great, somewhere in the middle i think",NEGATIVE,0.9925
206,PROD_434,"Disappointed with the product, not as described at all  ",4,"disappointed with the product, not as described at all",NEGATIVE,0.9998
207,PROD_662," &nbsp; Outstanding quality, arrived on time and works perfectly &nbsp; ",1,"outstanding quality, arrived on time and works perfectly",POSITIVE,0.9999
208,PROD_237,"Pretty average, does what it says in the description",1,"pretty average, does what it says in the description",NEGATIVE,0.9126
209,PROD_951,"  
  Love the design and it works exactly as described  
  ",5,love the design and it works exactly as described,POSITIVE,0.9999
210,PROD_152,Meets basic requirements but quality could be better,2,meets basic requirements but quality could be better,NEGATIVE,0.9616
211,PROD_142,<br>This product is absolutely amazing! Loved every bit of it 😍<br>,3,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
212,PROD_762,"   Great quality, fast shipping. Will buy again!!   ",3,"great quality, fast shipping. will buy again!!",POSITIVE,0.9997
213,PROD_459,"  
  <p>Excellent product</p> highly recommended to everyone  
  ",4,excellent product highly recommended to everyone,POSITIVE,0.9998
214,PROD_963,<br>5 stars!! best purchase i made this year<br>,3,5 stars!! best purchase i made this year,POSITIVE,0.9995
215,PROD_160,"Poor quality, feels very cheap. Not worth it at all  ",2,"poor quality, feels very cheap. not worth it at all",NEGATIVE,0.9998
216,PROD_104,   Super fast delivery and product quality is top notch!!   ,2,super fast delivery and product quality is top notch!!,POSITIVE,0.9998
217,PROD_633,"   I love this so much, exceeded my expectations completely   ",5,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
218,PROD_332,"Horrible experience, packaging was damaged and product broken<p>",4,"horrible experience, packaging was damaged and product broken",NEGATIVE,0.9998
219,PROD_177, &nbsp; Best product in this price range hands down 👍👍 &nbsp; ,2,best product in this price range hands down,NEGATIVE,0.6948
220,PROD_893,"Very bad quality, plastic feels cheap will break easily<p>",1,"very bad quality, plastic feels cheap will break easily",NEGATIVE,0.9997
221,PROD_338," &nbsp; Really good product, will definitely recommend to friends &nbsp; ",3,"really good product, will definitely recommend to friends",POSITIVE,0.9999
222,PROD_672,"Average quality for the price, expected a bit more",1,"average quality for the price, expected a bit more",NEGATIVE,0.9857
223,PROD_107,"   Totally worth the price, very satisfied customer here   ",1,"totally worth the price, very satisfied customer here",POSITIVE,0.9998
224,PROD_818,Terrible!! arrived late and was completely broken  ,2,terrible!! arrived late and was completely broken,NEGATIVE,0.9997
225,PROD_315,"Not recommended at all, save your money for something better</p>",2,"not recommended at all, save your money for something better",NEGATIVE,0.9997
226,PROD_798,Terrible product!! broke after 2 days of use 😡</p>,3,terrible product!! broke after 2 days of use,NEGATIVE,0.9997
227,PROD_849,<b>Worst purchase ever</b> do not buy this garbage&amp;,3,worst purchase ever do not buy this garbage,NEGATIVE,0.9995
